timestamp;message
"2020-08-26T18:14:23.538126Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:14:23.507112Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:14:10.450272Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:14:10.430211Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:13:35.792788Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:13:35.771482Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:13:01.025695Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:13:01.002171Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:11:56.818975Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:11:56.787625Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:11:21.751732Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:11:21.731974Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:10:59.963316Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:10:59.934316Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:10:50.49818Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:10:50.478968Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:10:21.073192Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:10:21.042006Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:09:58.85242Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:09:58.837574Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:09:07.309122Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:09:07.289304Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:08:45.00857Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:08:44.984588Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:08:21.187053Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:08:21.167264Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:05:24.740625Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:05:24.716921Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:05:08.378154Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:05:08.354586Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:04:44.55466Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:04:44.535119Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:04:28.177346Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:04:28.153811Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:04:11.684569Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:04:11.665739Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:03:47.576299Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:03:47.556563Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:03:31.116535Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:03:31.075756Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:00:33.156486Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:00:33.137865Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:00:16.171568Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:00:16.153092Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T18:00:00.501171Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
"2020-08-26T18:00:00.474848Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING_DONE"
"2020-08-26T17:59:36.184577Z";"Node path: ['SolutionInfo', 'work_phase'] new value: WorkPhase.DISPENSING"
